iter	Passed	Remaining
425	3309	4459
426	3312	4445
427	3316	4432
428	3320	4419
429	3323	4405
430	3327	4392
431	3330	4378
432	3333	4364
433	3336	4351
434	3339	4337
435	3343	4324
436	3346	4311
437	3349	4297
438	3352	4284
439	3356	4271
440	3359	4257
441	3362	4245
442	3365	4232
443	3369	4219
444	3372	4205
445	3375	4193
446	3378	4179
447	3381	4166
448	3384	4153
449	3388	4141
450	3391	4128
451	3394	4115
452	3397	4102
453	3400	4089
454	3403	4077
455	3407	4065
456	3410	4052
457	3413	4039
458	3416	4027
459	3420	4015
460	3423	4002
461	3427	3990
462	3429	3978
463	3433	3966
464	3436	3954
465	3441	3943
466	3443	3930
467	3447	3918
468	3450	3906
469	3453	3893
470	3456	3881
471	3459	3869
472	3462	3857
473	3465	3845
474	3468	3833
475	3471	3821
476	3474	3809
477	3477	3797
478	3480	3785
479	3484	3774
480	3487	3762
481	3491	3751
482	3494	3739
483	3497	3728
484	3500	3716
485	3504	3706
486	3507	3694
487	3511	3683
488	3514	3672
489	3518	3662
490	3525	3654
491	3529	3644
492	3534	3634
493	3537	3623
494	3541	3613
495	3544	3602
496	3548	3591
497	3551	3580
498	3555	3569
499	3558	3558
500	3561	3547
501	3564	3536
502	3569	3526
503	3572	3515
504	3575	3504
505	3578	3493
506	3581	3482
507	3584	3471
508	3587	3461
509	3590	3449
510	3595	3440
511	3598	3429
512	3601	3419
513	3604	3408
514	3607	3397
515	3611	3387
516	3614	3376
517	3617	3366
518	3621	3355
519	3623	3345
520	3627	3334
521	3630	3324
522	3633	3313
523	3636	3303
524	3639	3292
525	3642	3282
526	3645	3272
527	3648	3261
528	3656	3255
529	3659	3245
530	3662	3235
531	3665	3224
532	3669	3214
533	3672	3204
534	3675	3194
535	3678	3184
536	3686	3178
537	3692	3170
538	3697	3162
539	3700	3152
540	3703	3142
541	3706	3132
542	3709	3122
543	3712	3112
544	3715	3102
545	3719	3092
546	3722	3082
547	3725	3072
548	3728	3062
549	3731	3053
550	3734	3043
551	3737	3033
552	3740	3023
553	3744	3014
554	3747	3004
555	3750	2994
556	3753	2985
557	3756	2975
558	3759	2965
559	3762	2956
560	3765	2946
561	3768	2937
562	3771	2927
563	3774	2918
564	3777	2908
565	3780	2899
566	3784	2889
567	3787	2880
568	3790	2871
569	3793	2861
570	3796	2852
571	3800	2843
572	3803	2834
573	3806	2825
574	3809	2815
575	3812	2806
576	3815	2797
577	3818	2787
578	3821	2778
579	3824	2769
580	3827	2760
581	3830	2751
582	3834	2742
583	3836	2733
584	3841	2725
585	3844	2716
586	3847	2707
587	3850	2698
588	3853	2689
589	3856	2680
590	3859	2671
591	3862	2662
592	3865	2653
593	3868	2643
594	3871	2634
595	3873	2625
596	3876	2617
597	3880	2608
598	3883	2599
599	3887	2591
600	3891	2583
601	3893	2574
602	3896	2565
603	3899	2556
604	3902	2548
605	3905	2539
606	3909	2530
607	3912	2522
608	3915	2513
609	3918	2505
610	3921	2496
611	3924	2487
612	3927	2479
613	3929	2470
614	3933	2462
615	3936	2453
616	3939	2445
617	3942	2436
618	3945	2428
619	3948	2420
620	3952	2412
621	3955	2403
622	3958	2395
623	3961	2387
624	3964	2378
625	3967	2370
626	3970	2362
627	3973	2354
628	3977	2345
629	3980	2337
630	3983	2329
631	3986	2321
632	3989	2313
633	3992	2304
634	3996	2297
635	3999	2289
636	4002	2280
637	4005	2272
638	4008	2264
639	4011	2256
640	4014	2248
641	4017	2240
642	4020	2232
643	4022	2223
644	4026	2215
645	4028	2207
646	4031	2199
647	4035	2191
648	4038	2184
649	4041	2176
650	4044	2168
651	4047	2160
652	4050	2152
653	4053	2144
654	4056	2136
655	4059	2128
656	4063	2121
657	4066	2113
658	4069	2105
659	4072	2097
660	4075	2089
661	4077	2082
662	4080	2074
663	4083	2066
664	4087	2059
665	4090	2051
666	4093	2043
667	4096	2035
668	4101	2029
669	4106	2022
670	4115	2017
671	4118	2010
672	4122	2003
673	4125	1995
674	4131	1989
675	4134	1981
676	4137	1974
677	4140	1966
678	4144	1959
679	4148	1952
680	4151	1944
681	4154	1936
682	4157	1929
683	4160	1921
684	4163	1914
685	4166	1906
686	4169	1899
687	4172	1892
688	4175	1884
689	4178	1877
690	4181	1869
691	4184	1862
692	4187	1855
693	4190	1847
694	4193	1840
695	4196	1832
696	4199	1825
697	4202	1818
698	4205	1811
699	4208	1803
700	4211	1796
701	4214	1789
702	4217	1781
703	4221	1774
704	4224	1767
705	4228	1760
706	4231	1753
707	4234	1746
708	4237	1739
709	4240	1731
710	4243	1724
711	4246	1717
712	4249	1710
713	4252	1703
714	4255	1696
715	4259	1689
716	4261	1682
717	4264	1675
718	4267	1667
719	4271	1660
720	4274	1653
721	4277	1646
722	4280	1639
723	4283	1633
724	4286	1625
725	4289	1618
726	4292	1612
727	4295	1605
728	4299	1598
729	4302	1591
730	4305	1584
731	4308	1577
732	4311	1570
733	4314	1563
734	4317	1556
735	4320	1549
736	4323	1542
737	4326	1536
738	4329	1529
739	4333	1522
740	4336	1515
741	4339	1508
742	4342	1502
743	4345	1495
744	4348	1488
745	4351	1481
746	4354	1474
747	4358	1468
748	4360	1461
749	4364	1454
750	4367	1447
751	4370	1441
752	4373	1434
753	4376	1427
754	4380	1421
755	4383	1414
756	4386	1408
757	4389	1401
758	4393	1394
759	4396	1388
760	4399	1381
761	4403	1375
762	4406	1368
763	4409	1362
764	4412	1355
765	4415	1348
766	4418	1342
767	4422	1335
768	4425	1329
769	4428	1322
770	4432	1316
771	4435	1309
772	4438	1303
773	4441	1296
774	4445	1290
775	4448	1284
776	4452	1277
777	4455	1271
778	4459	1265
779	4462	1258
780	4465	1252
781	4468	1245
782	4471	1239
783	4474	1232
784	4477	1226
785	4480	1220
786	4483	1213
787	4487	1207
788	4490	1200
789	4493	1194
790	4496	1187
791	4499	1181
792	4502	1175
793	4505	1168
794	4508	1162
795	4511	1156
796	4514	1149
797	4517	1143
798	4520	1137
799	4523	1130
800	4526	1124
801	4530	1118
802	4533	1112
803	4536	1105
804	4539	1099
805	4542	1093
806	4545	1087
807	4549	1081
808	4552	1074
809	4555	1068
810	4558	1062
811	4561	1056
812	4564	1049
813	4567	1043
814	4570	1037
815	4576	1032
816	4579	1025
817	4582	1019
818	4585	1013
819	4588	1007
820	4592	1001
821	4595	995
822	4598	988
823	4604	983
824	4607	977
825	4610	971
826	4613	965
827	4619	959
828	4623	953
829	4627	947
830	4630	941
831	4635	935
832	4638	929
833	4641	923
834	4644	917
835	4647	911
836	4651	905
837	4654	899
838	4657	893
839	4660	887
840	4663	881
841	4666	875
842	4669	869
843	4672	863
844	4676	857
845	4679	851
846	4682	845
847	4685	839
848	4689	834
849	4693	828
850	4696	822
851	4700	816
852	4703	810
853	4706	804
854	4710	798
855	4713	792
856	4716	787
857	4720	781
858	4723	775
859	4726	769
860	4729	763
861	4732	757
862	4735	751
863	4738	745
864	4741	740
865	4745	734
866	4748	728
867	4751	722
868	4754	716
869	4758	710
870	4760	705
871	4764	699
872	4767	693
873	4770	687
874	4773	681
875	4776	676
876	4779	670
877	4782	664
878	4785	658
879	4788	653
880	4791	647
881	4794	641
882	4797	635
883	4800	629
884	4803	624
885	4806	618
886	4809	612
887	4812	607
888	4815	601
889	4819	595
890	4822	590
891	4825	584
892	4829	578
893	4831	572
894	4835	567
895	4838	561
896	4841	555
897	4844	550
898	4847	544
899	4850	538
900	4853	533
901	4856	527
902	4859	522
903	4863	516
904	4866	510
905	4870	505
906	4873	499
907	4876	494
908	4879	488
909	4883	482
910	4886	477
911	4889	471
912	4892	466
913	4896	460
914	4899	455
915	4902	449
916	4905	443
917	4908	438
918	4911	432
919	4915	427
920	4918	421
921	4921	416
922	4924	410
923	4927	405
924	4931	399
925	4934	394
926	4937	388
927	4940	383
928	4943	377
929	4946	372
930	4949	366
931	4952	361
932	4954	355
933	4957	350
934	4960	344
935	4963	339
936	4966	333
937	4969	328
938	4972	323
939	4975	317
940	4978	312
941	4981	306
942	4984	301
943	4988	295
944	4991	290
945	4994	285
946	4997	279
947	5001	274
948	5004	268
949	5007	263
950	5010	258
951	5013	252
952	5016	247
953	5019	242
954	5026	236
955	5034	231
956	5041	226
957	5043	221
958	5048	215
959	5050	210
960	5054	205
961	5059	199
962	5063	194
963	5066	189
964	5069	183
965	5072	178
966	5075	173
967	5079	167
968	5082	162
969	5084	157
970	5088	151
971	5091	146
972	5094	141
973	5097	136
974	5100	130
975	5102	125
976	5105	120
977	5108	114
978	5111	109
979	5114	104
980	5117	99
981	5120	93
982	5123	88
983	5126	83
984	5129	78
985	5132	72
986	5135	67
987	5138	62
988	5141	57
989	5144	51
990	5148	46
991	5151	41
992	5155	36
993	5158	31
994	5161	25
995	5164	20
996	5167	15
997	5170	10
998	5173	5
999	5177	0
