iter	Logloss
0	0.6331042378
1	0.584462979
2	0.5355849187
3	0.4892429903
4	0.4514808411
5	0.4103279793
6	0.3690186308
7	0.3379865632
8	0.3090129407
9	0.2795487289
10	0.2546017976
11	0.2346485465
12	0.2153880183
13	0.1975204969
14	0.176968702
15	0.1628406885
16	0.1489556467
17	0.1363991881
18	0.1247245355
19	0.1160632948
20	0.1069211194
21	0.09861564325
22	0.09120255994
23	0.08391634094
24	0.07694086105
25	0.07028826813
26	0.06505722417
27	0.0593906557
28	0.05515974456
29	0.05108272704
30	0.04737182784
31	0.04392863985
32	0.04034927692
33	0.0372420559
34	0.03449103963
35	0.03225871472
36	0.02980964851
37	0.02808428698
38	0.02611212526
39	0.02449009621
40	0.02314159704
41	0.02162853606
42	0.02010348999
43	0.01889273048
44	0.01779047849
45	0.01640868558
46	0.01554983986
47	0.01465289341
48	0.01385739568
49	0.0131511082
50	0.01244621621
51	0.01174892679
52	0.01108763977
53	0.01046071554
54	0.00988494522
55	0.009388185809
56	0.008908928684
57	0.008496950773
58	0.008049761139
59	0.007716253141
60	0.007340608707
61	0.00698263533
62	0.006798944082
63	0.006489130663
64	0.006176172086
65	0.005841412869
66	0.005621756667
67	0.005377470014
68	0.005122345926
69	0.004904049143
70	0.004761039662
71	0.004594007306
72	0.004365706772
73	0.004205182981
74	0.004042716238
75	0.003939294514
76	0.003815615599
77	0.003674058939
78	0.003565115385
79	0.003464350539
80	0.003381840285
81	0.003306475072
82	0.003228142488
83	0.003143927874
84	0.00304919649
85	0.002940964781
86	0.002855732222
87	0.002781981896
88	0.002708788286
89	0.002628151394
90	0.002576349904
91	0.002503258712
92	0.00244319043
93	0.002385613721
94	0.002328412241
95	0.002286556241
96	0.002247575598
97	0.002208405606
98	0.002153344054
99	0.002099955651
100	0.002060190567
101	0.002023105481
102	0.00198829534
103	0.001950280855
104	0.001920136781
105	0.00188505915
106	0.001843439777
107	0.00180967521
108	0.001777458484
109	0.001744254215
110	0.001719419389
111	0.00167652926
112	0.001643326262
113	0.001618593855
114	0.001589911619
115	0.001568502389
116	0.001548504135
117	0.001526608474
118	0.001493562919
119	0.001464544528
120	0.001445863962
121	0.001414357232
122	0.001384843277
123	0.00136685109
124	0.001343276038
125	0.001308358161
126	0.001284017743
127	0.001261725931
128	0.001246138853
129	0.001233460191
130	0.001213621691
131	0.001198069407
132	0.001183587665
133	0.001163443412
134	0.00114002904
135	0.001124706216
136	0.001110693104
137	0.00109495783
138	0.001080710056
139	0.001065442718
140	0.001050238265
141	0.001034407046
142	0.001019220395
143	0.001008818528
144	0.0009922456397
145	0.0009818579915
146	0.0009654744506
147	0.0009515180388
148	0.0009417499319
149	0.000930333992
150	0.00091705203
151	0.0009016627953
152	0.0008932221449
153	0.0008794987185
154	0.000869701828
155	0.0008561032463
156	0.0008459966719
157	0.0008362765955
158	0.0008289612803
159	0.0008119597586
160	0.0008035658092
161	0.0007946886651
162	0.0007843529777
163	0.0007734527731
164	0.0007647042304
165	0.0007557750677
166	0.0007478006771
167	0.0007477836265
168	0.0007402604104
169	0.000732307174
170	0.0007323043997
171	0.0007216448678
172	0.0007139447885
173	0.0007139512041
174	0.0007036337232
175	0.0006961822349
176	0.0006882181325
177	0.0006882043186
178	0.0006794069363
179	0.0006703084819
180	0.0006598345985
181	0.0006508408749
182	0.0006508420887
183	0.0006508471172
184	0.0006428252741
185	0.0006362888504
186	0.0006362939367
187	0.0006285311461
188	0.0006201645932
189	0.000620170951
190	0.0006116373029
191	0.0006116218707
192	0.0006116276505
193	0.0006116276505
194	0.0006116351643
195	0.0006031582164
196	0.0006031555577
197	0.0006031503558
198	0.0006031488531
199	0.0006031470035
200	0.0006031326695
201	0.0006031428998
202	0.000603131398
203	0.0006031229016
204	0.0006031229016
205	0.0006031229016
206	0.0006031181043
207	0.0006031226704
208	0.0006030449315
209	0.0006030509426
210	0.0006030331406
211	0.0006030366085
212	0.0006030313489
213	0.000595104353
214	0.0005951130228
215	0.0005951062025
216	0.0005951120402
217	0.0005950897878
